GameCode,DateFormat,Hour,TablesOcc,TablesOpen,TablesClosed,HeadCount,DayOfWeek,DayNumber
DH,8/2/2011,11,2,2,4,2,3,2
DH,8/2/2011,12,2,3,3,6,3,2
DH,8/2/2011,13,2,3,3,6,3,2
DH,8/2/2011,14,3,3,3,4,3,2
DH,8/2/2011,15,3,3,3,5,3,2
DH,8/2/2011,16,3,3,3,7,3,2
DH,8/2/2011,17,2,3,3,9,3,2
DH,8/2/2011,18,2,3,3,9,3,2
DH,8/2/2011,19,2,3,3,6,3,2
DH,8/2/2011,20,4,5,1,11,3,2
DH,8/2/2011,21,5,5,1,15,3,2
DH,8/2/2011,22,4,5,1,16,3,2
DH,8/2/2011,23,5,5,1,14,3,2
C4,8/3/2011,0,1,1,0,5,4,3
C4,8/3/2011,1,1,1,0,4,4,3
C4,8/3/2011,2,1,1,0,5,4,3
C4,8/3/2011,3,1,1,0,1,4,3
C4,8/3/2011,4,1,1,0,3,4,3
C4,8/3/2011,5,0,0,1,0,4,3
C4,8/3/2011,6,0,0,1,0,4,3
C4,8/3/2011,7,0,0,1,0,4,3
C4,8/3/2011,8,0,0,1,0,4,3
C4,8/3/2011,9,0,0,1,0,4,3
C4,8/3/2011,10,0,0,1,0,4,3
C4,8/3/2011,11,0,0,1,0,4,3
C4,8/3/2011,12,0,0,1,0,4,3
C4,8/3/2011,13,0,0,1,0,4,3
C4,8/3/2011,14,1,1,0,1,4,3
C4,8/3/2011,15,1,1,0,4,4,3
C4,8/3/2011,16,1,1,0,1,4,3
C4,8/3/2011,17,1,1,0,3,4,3
C4,8/3/2011,18,0,1,0,0,4,3
C4,8/3/2011,19,1,1,0,2,4,3
C4,8/3/2011,20,1,1,0,2,4,3
C4,8/3/2011,21,1,1,0,5,4,3
C4,8/3/2011,22,1,1,0,3,4,3
C4,8/3/2011,23,1,1,0,6,4,3
CR,8/3/2011,0,3,4,2,17,4,3
CR,8/3/2011,1,3,3,3,15,4,3
CR,8/3/2011,2,2,2,4,8,4,3
CR,8/3/2011,3,1,1,5,5,4,3
CR,8/3/2011,4,1,1,5,4,4,3
CR,8/3/2011,5,1,1,5,2,4,3
CR,8/3/2011,6,1,1,5,4,4,3
CR,8/3/2011,7,1,1,5,4,4,3
CR,8/3/2011,8,1,1,5,3,4,3
CR,8/3/2011,9,1,1,5,5,4,3
CR,8/3/2011,10,1,1,5,5,4,3
CR,8/3/2011,11,2,3,3,13,4,3
CR,8/3/2011,12,3,3,3,15,4,3
CR,8/3/2011,13,3,3,3,14,4,3
CR,8/3/2011,14,2,3,3,10,4,3
CR,8/3/2011,15,2,3,3,8,4,3
CR,8/3/2011,16,3,3,3,21,4,3
CR,8/3/2011,17,3,3,3,18,4,3
CR,8/3/2011,18,3,3,3,23,4,3
CR,8/3/2011,19,3,3,3,14,4,3
CR,8/3/2011,20,4,4,2,20,4,3
CR,8/3/2011,21,4,4,2,24,4,3
CR,8/3/2011,22,4,4,2,29,4,3
CR,8/3/2011,23,4,4,2,30,4,3
DH,8/3/2011,0,4,5,1,17,4,3
DH,8/3/2011,1,4,5,1,15,4,3
DH,8/3/2011,2,4,5,1,6,4,3
DH,8/3/2011,3,2,4,2,3,4,3
DH,8/3/2011,4,1,3,3,4,4,3
DH,8/3/2011,5,1,2,4,1,4,3
DH,8/3/2011,6,1,2,4,2,4,3
DH,8/3/2011,7,1,2,4,1,4,3
DH,8/3/2011,8,1,2,4,2,4,3
DH,8/3/2011,9,1,2,4,2,4,3
DH,8/3/2011,10,1,2,4,2,4,3
DH,8/3/2011,11,2,3,3,2,4,3
DH,8/3/2011,12,2,3,3,4,4,3
DH,8/3/2011,13,2,3,3,5,4,3
DH,8/3/2011,14,2,3,3,6,4,3
DH,8/3/2011,15,3,3,3,9,4,3
DH,8/3/2011,16,2,3,3,4,4,3
DH,8/3/2011,17,3,3,3,5,4,3
DH,8/3/2011,18,3,3,3,6,4,3
DH,8/3/2011,19,3,4,2,11,4,3
DH,8/3/2011,20,4,5,1,5,4,3
DH,8/3/2011,21,5,5,1,13,4,3
DH,8/3/2011,22,4,5,1,12,4,3
DH,8/3/2011,23,5,5,1,12,4,3
C4,8/4/2011,0,1,1,0,5,5,4
C4,8/4/2011,1,1,1,0,5,5,4
C4,8/4/2011,2,1,1,0,3,5,4
C4,8/4/2011,3,1,1,0,1,5,4
C4,8/4/2011,4,1,1,0,1,5,4
C4,8/4/2011,5,0,0,1,0,5,4
C4,8/4/2011,6,0,0,1,0,5,4
C4,8/4/2011,7,0,0,1,0,5,4
C4,8/4/2011,8,0,0,1,0,5,4
C4,8/4/2011,9,0,0,1,0,5,4
C4,8/4/2011,10,0,0,1,0,5,4
C4,8/4/2011,11,0,0,1,0,5,4
C4,8/4/2011,12,0,0,1,0,5,4
C4,8/4/2011,13,0,1,0,0,5,4
C4,8/4/2011,14,1,1,0,2,5,4
C4,8/4/2011,15,1,1,0,4,5,4
C4,8/4/2011,16,1,1,0,4,5,4
C4,8/4/2011,17,1,1,0,5,5,4
C4,8/4/2011,18,1,1,0,6,5,4
C4,8/4/2011,19,1,1,0,2,5,4
C4,8/4/2011,20,1,1,0,5,5,4
C4,8/4/2011,21,1,1,0,4,5,4
C4,8/4/2011,22,1,1,0,5,5,4
C4,8/4/2011,23,1,1,0,4,5,4
CR,8/4/2011,0,3,3,3,13,5,4
CR,8/4/2011,1,3,3,3,12,5,4
CR,8/4/2011,2,3,3,3,11,5,4
CR,8/4/2011,3,1,1,5,1,5,4
